PNU,x,y
"1168010700106290026",127.033032066077,37.5216481119964
"1168010700106290025",127.033216408995,37.5217616734625
"1168010700106290024",127.033372485026,37.5217572750472
"1168010700106290023",127.033413027442,37.5219328007227
"1168010700106290022",127.033210745365,37.5219599888494
"1168010700106290021",127.033151793494,37.5220976993452
"1168010700106290020",127.033110438087,37.5221846658439
"1168010700106290019",127.032848328721,37.5220199732012
"1168010700106290035",127.03178919501,37.5212588218578
"1168010700106290039",127.031816771808,37.521505039651
"1168010700106310027",127.034758919693,37.5231285391357
"1168010700106310026",127.034705980007,37.5232334678395
"1168010700106310025",127.03465356601,37.5233372503697
"1168010700106310023",127.034556680943,37.5232458397315
"1168010700106310034",127.035053172585,37.5234134680821
"1168010700106310036",127.035223852476,37.5230702354416
"1168010700106310032",127.034911239298,37.5232074961412
"1168010700106310035",127.035141453217,37.5232388728188
"1168010700106310013",127.034297986641,37.5230554411597
"1168010700106310033",127.034833256935,37.5233644029327
"1168010700106310011",127.034428990034,37.5227942584999
"1168010700106310014",127.034232087432,37.5231862610817
"1168010700106310009",127.034202205293,37.5228274894042
"1168010700106310012",127.034363120121,37.5229259007174
"1168010700106310000",127.033872480867,37.5228529943102
"1168010700106310010",127.03425497157,37.5227226373828
"1168010700106310022",127.034635741524,37.5230889785733
"1168010700106310021",127.03468905561,37.5229829263606
"1168010700106310020",127.034742225592,37.5228773153285
"1168010700106310019",127.034574483614,37.5228250848065
"1168010700106310018",127.034521458452,37.5229307664014
"1168010700106310017",127.034469016321,37.5230352915461
"1168010700106310016",127.03441669009,37.5231391889053
"1168010700106310015",127.034364323354,37.5232439476589
"1168010700106280038",127.031792640624,37.5220149712756
"1168010700106280037",127.031925709289,37.5220593585829
"1168010700106280036",127.032059747634,37.5221013720173
"1168010700106280035",127.03222256055,37.5220905406564
"1168010700106280034",127.032197252499,37.5221962147659
"1168010700106280033",127.032407722559,37.5221439379296
"1168010700106280032",127.032382049519,37.5222543872553
"1168010700106280031",127.032598478111,37.5222102154298
"1168010700106300019",127.034895840697,37.5223497290291
"1168010700106300018",127.0346875276,37.522190072051
"1168010700106300017",127.034577621123,37.5221552005916
"1168010700106300016",127.034458493345,37.5221173596039
"1168010700106300015",127.034463034865,37.5223625373944
"1168010700106300014",127.034341973972,37.5223251624527
"1168010700106300030",127.035354221685,37.5224402663404
"1168010700106300033",127.034592861066,37.5223842079175
"1168010700106300025",127.034998956729,37.5227483894714
"1168010700106300031",127.035544635138,37.5225066026377
"1168010700106300023",127.035188853396,37.5223870150691
"1168010700106300026",127.035329750382,37.5227846023627
"1168010700106300004",127.034145589812,37.5222310943484
"1168010700106300024",127.035077427907,37.522593015595
"1168010700106300002",127.03408860904,37.5223448354089
"1168010700106300005",127.033939343147,37.5221665920504
"1168010700106300000",127.033826771798,37.5223952185426
"1168010700106300003",127.033885457525,37.5222710418944
"1168010700106290041",127.031595906294,37.5215506920675
"1168010700106300001",127.034026906836,37.5224673155986
"1168010700106300012",127.034292780327,37.5225074978062
"1168010700106290042",127.032948497008,37.5218171763845
"1168010700106300010",127.034251790793,37.5220818651664
"1168010700106300013",127.034474104217,37.5225652612655
"1168010700106300009",127.034241494314,37.5219580963593
"1168010700106300008",127.034028765935,37.5219815468326
"1168010700106300007",127.03406838832,37.5220851866001
"1168010700106300006",127.033862378193,37.5221017579199
"1168010700106310031",127.03497670363,37.5230755449535
"1168010700106310030",127.035029442353,37.5229692330194
"1168010700106310029",127.03486586712,37.5229169079905
"1168010700106310028",127.034812331978,37.5230225092698
"1168010700106360017",127.035091855444,37.5276098381799
"1168010700106360020",127.034568970683,37.5272609286185
"1168010700106360015",127.034626501323,37.5274573650009
"1168010700106360018",127.034929723816,37.5274910201815
"1168010700106360010",127.034399722331,37.5274748935572
"1168010700106360016",127.034903851551,37.5276405666306
"1168010700106360027",127.034896635456,37.527190935643
"1168010700106360014",127.034683166364,37.5276420376825
"1168010700106360025",127.035025983949,37.5272733526175
"1168010700106360028",127.035003605797,37.5272190018065
"1168010700106360023",127.034968546308,37.5273446625999
"1168010700106360026",127.034731252359,37.5272288064605
"1168010700106360021",127.034511850952,37.5271138732754
"1168010700106360024",127.034791673145,37.5273818778243
"1168010700106360000",127.033940302779,37.5277506040281
"1168010700106360022",127.034317099972,37.5272257105654
"1168010700106350015",127.034486391589,37.52666410637
"1168010700106360001",127.034169406301,37.5277136780849
"1168010700106350013",127.034744074591,37.5268126110033
"1168010700106350016",127.034401114967,37.5265364501791
"1168010700106350011",127.034235519469,37.5265925702997
"1168010700106350014",127.034638775888,37.5265617211019
"1168010700106360009",127.034454286863,37.5276436035802
"1168010700106350012",127.034552954999,37.5268577489439
"1168010700106360007",127.033937999433,37.5272387719519
"1168010700106360006",127.033972663721,37.527375708898
"1168010700106360005",127.034072450758,37.5274648356417
"1168010700106360004",127.033870241684,37.5275118327888
"1168010700106360003",127.034177483527,37.5275660881583
"1168010700106360002",127.033962802274,37.527615878671
"1168010700106300021",127.034845769763,37.5226658316899
"1168010700106300020",127.034659688117,37.5226069808435
"1168010700106340017",127.034535443306,37.5262462617735
"1168010700105680002",127.025165993094,37.5238979780387
"1168010700106340015",127.034271990474,37.525761905738
"1168010700106340021",127.034202392732,37.5262458768026
"1168010700106340014",127.034374942262,37.5260117761046
"1168010700106340016",127.034252257125,37.5255413569417
"1168010700106340011",127.034404359186,37.5262776819236
"1168010700106340010",127.033884277177,37.5256532019581
"1168010700106350010",127.034330382745,37.5267961981279
"1168010700106350009",127.034204107908,37.5268005640055
